id,input_receptor,input_ligand,input_template
T1124,data/casp15_set/casp15_holo_aligned_predicted_structures/T1124_holo_aligned_predicted_protein.pdb,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O|Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O|N[C@@H](Cc1ccc(O)cc1)C(=O)O|N[C@@H](Cc1ccc(O)cc1)C(=O)O,data/casp15_set/casp15_holo_aligned_predicted_structures/T1124_holo_aligned_predicted_protein.pdb
T1170,data/casp15_set/casp15_holo_aligned_predicted_structures/T1170_holo_aligned_predicted_protein.pdb,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO[P@](=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O|Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO[P@](=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O|Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP([O-])([O-])=S)[C@@H](O)[C@H]1O|Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP([O-])([O-])=S)[C@@H](O)[C@H]1O|Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP([O-])([O-])=S)[C@@H](O)[C@H]1O|[Mg+2]|[Mg+2]|[Mg+2]|Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP([O-])([O-])=S)[C@@H](O)[C@H]1O|[Mg+2],data/casp15_set/casp15_holo_aligned_predicted_structures/T1170_holo_aligned_predicted_protein.pdb
T1186,data/casp15_set/casp15_holo_aligned_predicted_structures/T1186_holo_aligned_predicted_protein.pdb,Cc1onc(c1C(=O)N[C@H](C=O)[C@@H]1N[C@@H](C(O)=O)C(C)(C)S1)-c1c(Cl)cccc1Cl,data/casp15_set/casp15_holo_aligned_predicted_structures/T1186_holo_aligned_predicted_protein.pdb
T1181,data/casp15_set/casp15_holo_aligned_predicted_structures/T1181_holo_aligned_predicted_protein.pdb,CC(=O)N[C@H]1[C@@H](O)O[C@H](CO[C@H]2O[C@H](CO)[C@@H](O[C@@H]3O[C@H](C(=O)N[C@@H](CO)C([O-])=O)[C@@H](O[C@H]4O[C@H](CO[C@H]5O[C@H](CO)[C@@H](O[C@@H]6OC(C(=O)N[C@@H](CO)C([O-])=O)=C[C@H](O)[C@H]6O)[C@H](O)[C@H]5NC(C)=O)[C@@H](O)[C@H](O)[C@H]4NC(C)=O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2NC(C)=O)[C@@H](O)[C@@H]1O|CC(=O)N[C@H]1[C@@H](O)O[C@H](CO[C@H]2O[C@H](CO)[C@@H](O[C@@H]3O[C@H](C(=O)N[C@@H](CO)C([O-])=O)[C@@H](O[C@H]4O[C@H](CO[C@H]5O[C@H](CO)[C@@H](O[C@@H]6OC(C(=O)N[C@@H](CO)C([O-])=O)=C[C@H](O)[C@H]6O)[C@H](O)[C@H]5NC(C)=O)[C@@H](O)[C@H](O)[C@H]4NC(C)=O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2NC(C)=O)[C@@H](O)[C@@H]1O|CC(=O)N[C@H]1[C@@H](O)O[C@H](CO[C@H]2O[C@H](CO)[C@@H](O[C@@H]3O[C@H](C(=O)N[C@@H](CO)C([O-])=O)[C@@H](O[C@H]4O[C@H](CO[C@H]5O[C@H](CO)[C@@H](O[C@@H]6OC(C(=O)N[C@@H](CO)C([O-])=O)=C[C@H](O)[C@H]6O)[C@H](O)[C@H]5NC(C)=O)[C@@H](O)[C@H](O)[C@H]4NC(C)=O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2NC(C)=O)[C@@H](O)[C@@H]1O|CC(=O)N[C@H]1[C@@H](O)O[C@H](CO[C@H]2O[C@H](CO)[C@@H](O[C@@H]3O[C@H](C(=O)N[C@@H](CO)C([O-])=O)[C@@H](O[C@H]4O[C@H](CO[C@H]5O[C@H](CO)[C@@H](O[C@@H]6OC(C(=O)N[C@@H](CO)C([O-])=O)=C[C@H](O)[C@H]6O)[C@H](O)[C@H]5NC(C)=O)[C@@H](O)[C@H](O)[C@H]4NC(C)=O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2NC(C)=O)[C@@H](O)[C@@H]1O|[Zn+2]|[Zn+2]|[Zn+2]|[Ca+2]|CC(=O)N[C@H]1[C@@H](O)O[C@H](CO[C@H]2O[C@H](CO)[C@@H](O[C@@H]3O[C@H](C(=O)N[C@@H](CO)C([O-])=O)[C@@H](O[C@H]4O[C@H](CO[C@H]5O[C@H](CO)[C@@H](O[C@@H]6OC(C(=O)N[C@@H](CO)C([O-])=O)=C[C@H](O)[C@H]6O)[C@H](O)[C@H]5NC(C)=O)[C@@H](O)[C@H](O)[C@H]4NC(C)=O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2NC(C)=O)[C@@H](O)[C@@H]1O,data/casp15_set/casp15_holo_aligned_predicted_structures/T1181_holo_aligned_predicted_protein.pdb
T1187,data/casp15_set/casp15_holo_aligned_predicted_structures/T1187_holo_aligned_predicted_protein.pdb,CC(=O)N[C@H]1[C@H](O[C@@H]2[C@@H](CO)O[C@@H](O[C@@H]3[C@@H](CO)O[C@@H](O)[C@H](NC(C)=O)[C@H]3O)[C@H](NC(C)=O)[C@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O|CC(=O)N[C@H]1[C@H](O[C@@H]2[C@@H](CO)O[C@@H](O[C@@H]3[C@@H](CO)O[C@@H](O)[C@H](NC(C)=O)[C@H]3O)[C@H](NC(C)=O)[C@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O,data/casp15_set/casp15_holo_aligned_predicted_structures/T1187_holo_aligned_predicted_protein.pdb
T1158v1,data/casp15_set/casp15_holo_aligned_predicted_structures/T1158v1_holo_aligned_predicted_protein.pdb,CCCCC[C@@H](/C=C/[C@H]1[C@@H](CC(=O)[C@@H]1CCCCCCC(=O)O)O)O,data/casp15_set/casp15_holo_aligned_predicted_structures/T1158v1_holo_aligned_predicted_protein.pdb
H1172v2,data/casp15_set/casp15_holo_aligned_predicted_structures/H1172v2_holo_aligned_predicted_protein.pdb,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO[P@](=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O|Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO[P@](=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O|Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO[P@](=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O|Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO[P@](=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O|Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP([O-])([O-])=S)[C@@H](O)[C@H]1O|Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP([O-])([O-])=S)[C@@H](O)[C@H]1O|[Mg+2]|[Mg+2]|[Mg+2],data/casp15_set/casp15_holo_aligned_predicted_structures/H1172v2_holo_aligned_predicted_protein.pdb
T1158v2,data/casp15_set/casp15_holo_aligned_predicted_structures/T1158v2_holo_aligned_predicted_protein.pdb,CCCCC[C@@H](/C=C/[C@H]1[C@@H](CC(=O)[C@@H]1C/C=C\CCCC(=O)O)O)O,data/casp15_set/casp15_holo_aligned_predicted_structures/T1158v2_holo_aligned_predicted_protein.pdb
H1172v3,data/casp15_set/casp15_holo_aligned_predicted_structures/H1172v3_holo_aligned_predicted_protein.pdb,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO[P@](=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O|Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO[P@](=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O|Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO[P@](=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O|Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO[P@](=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O|Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP([O-])([O-])=S)[C@@H](O)[C@H]1O|Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP([O-])([O-])=S)[C@@H](O)[C@H]1O|[Mg+2]|[Mg+2],data/casp15_set/casp15_holo_aligned_predicted_structures/H1172v3_holo_aligned_predicted_protein.pdb
H1172v1,data/casp15_set/casp15_holo_aligned_predicted_structures/H1172v1_holo_aligned_predicted_protein.pdb,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO[P@](=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O|Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO[P@](=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O|Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO[P@](=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O|Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP([O-])([O-])=S)[C@@H](O)[C@H]1O|Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP([O-])([O-])=S)[C@@H](O)[C@H]1O|Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP([O-])([O-])=S)[C@@H](O)[C@H]1O|[Mg+2]|[Mg+2]|[Mg+2],data/casp15_set/casp15_holo_aligned_predicted_structures/H1172v1_holo_aligned_predicted_protein.pdb
